Candidate ID|Total Contributions|Z Value of Total|Minimum Contribution|Maximum Contribution|Median Contribution|Mean Contribution|Stdev of Contributions
H2UT02332|12500.00|-0.0964|1000.00|5000.00|2500.00|2500.00|1378.40
H0FL17118|7500.00|-0.0969|2500.00|5000.00|5000.00|3750.00|1250.00
H0CA00082|44771.00|-0.0934|21.00|5000.00|2500.00|2356.37|1748.17
H6AK00045|361367.00|-0.0639|-1500.00|5000.00|1000.00|1524.76|1163.56
S8NE00091|1335346.00|0.0269|-5000.00|205260.00|2500.00|6545.81|22109.45
S4VT00017|82050.00|-0.0899|-5000.00|5000.00|1000.00|891.85|993.60
H0GA08032|5000.00|-0.0971|-1000.00|2000.00|2000.00|1250.00|1299.04
H0IN08114|1299324.00|0.0235|-5000.00|132650.00|1000.00|3146.06|12774.17
P20002671|555314.00|-0.0458|6.00|150000.00|1500.00|12072.04|29471.39
S2MO00353|5010.00|-0.0971|10.00|4000.00|1000.00|1670.00|1696.41
H2PA15107|2.00|-0.0976|2.00|2.00|2.00|2.00|0.00
H4NC06011|372481.00|-0.0629|-2000.00|5000.00|1000.00|1258.38|975.77
H0NM03045|1500.00|-0.0974|1500.00|1500.00|1500.00|1500.00|0.00
H2PA10090|33566.00|-0.0944|119.00|5000.00|1000.00|1598.38|1174.30
H0WI06061|519730.00|-0.0491|-2500.00|5000.00|1000.00|1299.33|984.49
H6AR01072|-2000.00|-0.0977|-1000.00|-500.00|-500.00|-666.67|235.70
H4PA08074|2131707.00|0.1010|-5000.00|400000.00|1000.00|2678.02|16754.48
H0AR01083|582604.00|-0.0433|-5000.00|5227.00|1000.00|1537.21|1349.97
S2WI00243|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H8OH14087|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H2TX34055|3164.00|-0.0973|0.00|2000.00|29.00|316.40|632.79
S0NY00287|2438.00|-0.0973|943.00|1495.00|1495.00|1219.00|276.00
H8PA01187|2500.00|-0.0973|500.00|1000.00|1000.00|833.33|235.70
H2IL12122|4844342.00|0.3538|-101.00|541150.00|2000.00|19147.60|69167.02
H8OH16058|-10250.00|-0.0985|-5000.00|250.00|-2000.00|-2050.00|1749.29
H2IN05082|306500.00|-0.0690|-2500.00|30282.00|1000.00|2237.23|3834.86
H2TX36027|2000.00|-0.0974|1000.00|1000.00|1000.00|1000.00|0.00
H2IL10068|3859201.00|0.2620|0.00|799712.00|1000.00|10263.83|68965.56
S2ME00141|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
S2NY00283|42292.00|-0.0936|-5000.00|17500.00|1000.00|2349.56|4292.87
H2SC01069|57000.00|-0.0922|1000.00|5000.00|5000.00|3562.50|1694.43
H0HI01165|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
S0MA00141|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H0CA36136|-500.00|-0.0976|-500.00|-500.00|-500.00|-500.00|0.00
H8MN06047|1128736.00|0.0076|-5000.00|59685.00|1000.00|1835.34|2756.47
H4MA03022|441204.00|-0.0565|-5000.00|5000.00|1000.00|1764.82|1401.51
H2TX16235|235.00|-0.0975|235.00|235.00|235.00|235.00|0.00
H2ND00099|10017.00|-0.0966|24.00|5000.00|4993.00|3339.00|2344.06
S0AK00121|-2689.00|-0.0978|-5689.00|3000.00|3000.00|-1344.50|4344.50
H2AR04133|4700.00|-0.0971|444.00|2000.00|1500.00|1175.00|611.59
H0AL07094|-2500.00|-0.0978|-2500.00|-2500.00|-2500.00|-2500.00|0.00
H4CA11081|3974912.00|0.2728|-5000.00|498435.00|1000.00|6279.48|42095.83
H0CA18050|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H4WA08071|787932.00|-0.0241|-5000.00|5000.00|1000.00|1557.18|1277.07
H2CA03090|421201.00|-0.0583|-5000.00|39997.00|1000.00|2228.58|3477.79
H2TX36118|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
S0DE00068|-2000.00|-0.0977|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H0AR04079|15661.00|-0.0961|120.00|5000.00|1000.00|1740.11|1569.79
H0MI07077|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H2CA09113|222.00|-0.0975|222.00|222.00|222.00|222.00|0.00
H2PA14084|8500.00|-0.0968|1000.00|3000.00|1000.00|1700.00|871.78
H0VA02092|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H8IL13119|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H2NY12155|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H2OH09031|798574.00|-0.0232|-5000.00|116111.00|1000.00|1848.55|5670.06
H2AZ09019|3467393.00|0.2255|-2000.00|527857.00|1000.00|11257.77|46778.82
H0NC10151|1372835.00|0.0303|42.00|357975.00|2500.00|29209.26|71911.03
H2NC09118|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
H0NY01160|4000.00|-0.0972|-1000.00|1000.00|1000.00|666.67|745.36
H2NC11098|11250.00|-0.0965|-1500.00|2500.00|1000.00|937.50|958.11
H2FL13188|506651.00|-0.0504|1.00|82600.00|1000.00|2652.62|8395.92
H6NY20167|101500.00|-0.0881|500.00|5000.00|2500.00|2602.56|1629.77
H2AZ07070|325226.00|-0.0673|-5000.00|5000.00|1000.00|1106.21|1466.74
H0IN02190|1202801.00|0.0145|-1112.00|173900.00|1000.00|2955.29|12313.25
H2CT05206|3899904.00|0.2658|18.00|1075000.00|2000.00|23779.90|100224.35
H2DE00130|6680.00|-0.0969|200.00|3480.00|1000.00|1113.33|1096.46
H0WV01106|12653.00|-0.0964|0.00|5000.00|2.00|632.65|1337.05
H2IL08088|-500.00|-0.0976|-2000.00|2000.00|500.00|-125.00|1515.54
H2TX35011|549957.00|-0.0463|-5000.00|10000.00|1500.00|2182.37|1858.77
H4WV03047|439485.00|-0.0566|0.00|99674.00|1000.00|2872.45|11211.01
S2HI00114|2174981.00|0.1051|-5000.00|310000.00|2500.00|5451.08|21494.63
H2VA04052|370115.00|-0.0631|-5000.00|5000.00|1000.00|1375.89|977.71
H0SC03077|428427.00|-0.0576|-4000.00|5000.00|1000.00|1294.34|942.20
H8OH07065|153250.00|-0.0833|-1000.00|5000.00|1000.00|1266.53|950.61
H0MO04086|621692.00|-0.0396|-5000.00|46962.00|1000.00|1459.37|2591.73
H8LA00017|717103.00|-0.0307|-5000.00|5000.00|1000.00|1535.55|1179.45
H8PR00062|136824.00|-0.0848|-2500.00|5000.00|1000.00|1503.56|1341.81
