Candidate ID|Total Contributions|Z Value of Total|Minimum Contribution|Maximum Contribution|Median Contribution|Mean Contribution|Stdev of Contributions
H2TX33123|15025.00|-0.0962|425.00|5000.00|2500.00|2146.43|1423.80
H0TX27061|477625.00|-0.0531|-3000.00|7753.00|1000.00|1586.79|1384.37
H2TX22092|2600.00|-0.0973|2600.00|2600.00|2600.00|2600.00|0.00
S4CO00171|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
H2OH11151|1500.00|-0.0974|500.00|1000.00|1000.00|750.00|250.00
H0IL16085|585914.00|-0.0430|-3000.00|35000.00|1000.00|2288.73|4412.09
H0TX04102|6752.00|-0.0969|500.00|6252.00|6252.00|3376.00|2876.00
H6VA05068|53156.00|-0.0926|-1000.00|54156.00|54156.00|26578.00|27578.00
H8ID02064|820191.00|-0.0211|-2000.00|27516.00|1000.00|1467.25|1876.14
S4AK00099|356776.00|-0.0643|-5000.00|5000.00|1000.00|1388.23|1289.10
H0FL24148|26140.00|-0.0951|-5000.00|8140.00|5000.00|3267.50|3747.45
P40002545|10000.00|-0.0966|5000.00|5000.00|5000.00|5000.00|0.00
H0CA47067|-2000.00|-0.0977|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H2VA09010|891.00|-0.0975|-1500.00|2391.00|2391.00|445.50|1945.50
H6PA16197|1032280.00|-0.0014|-5000.00|5625.00|1000.00|1633.35|1175.63
S4MA00069|119726.00|-0.0864|-2500.00|5000.00|1000.00|1442.48|1369.90
H2VA02049|481631.00|-0.0527|5.00|70657.00|1500.00|3567.64|7886.72
H8NY27036|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
S2VA00142|33115056.00|2.9876|-21000.00|1750000.00|35.00|12384.09|102058.01
H0AZ07017|1518.00|-0.0974|518.00|1000.00|1000.00|759.00|241.00
H6NV02164|289449.00|-0.0706|-5000.00|5000.00|2000.00|1754.24|2306.22
H2CA28113|383789.00|-0.0618|-1500.00|5000.00|1500.00|2009.37|1572.91
H0FL02110|2271257.00|0.1140|-5000.00|238598.00|1000.00|4122.06|17591.35
S6KS00080|668689.00|-0.0353|-2500.00|5000.00|1000.00|1492.61|1025.47
H2NY15109|59194.00|-0.0920|907.00|21771.00|2500.00|5919.40|6835.64
H8TN08033|-6000.00|-0.0981|-2500.00|-1000.00|-2500.00|-2000.00|707.11
H2CA31125|348391.00|-0.0651|-2500.00|30000.00|249.00|1009.83|2870.09
H0WA03187|511867.00|-0.0499|-2500.00|5000.00|1000.00|1417.91|1068.78
H2TX14081|15192.00|-0.0961|500.00|5000.00|1000.00|1688.00|1357.48
P80003338|398135169.00|36.9948|-8144.00|9856374.00|28.00|12886.30|227078.62
H2IN04135|2908.00|-0.0973|408.00|2500.00|2500.00|1454.00|1046.00
S2MI00177|442.00|-0.0975|37.00|289.00|116.00|147.33|105.24
H6NY19029|535080.00|-0.0477|-2500.00|30000.00|1000.00|1820.00|2400.92
H2UT02316|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H2PA11098|599381.00|-0.0417|-5000.00|5000.00|1000.00|1628.75|1382.11
H6IL17155|-3500.00|-0.0979|-2500.00|-1000.00|-1000.00|-1750.00|750.00
H6NJ08118|1168986.00|0.0114|-2000.00|6749.00|1000.00|1660.49|1212.47
S8MT00119|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H0TX25073|33574.00|-0.0944|173.00|20728.00|1000.00|4196.75|6684.83
H0CA10149|1000370.00|-0.0044|-2500.00|86200.00|1000.00|1621.35|3816.90
P80003023|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H0FL18025|720231.00|-0.0305|-2500.00|100000.00|1500.00|2156.38|5560.92
H8CA35032|75360.00|-0.0905|-2500.00|5000.00|1000.00|1196.19|1273.53
H2NY13096|7500.00|-0.0969|2500.00|5000.00|5000.00|3750.00|1250.00
S2WI00268|1757786.00|0.0662|-3960.00|649800.00|3547.00|46257.53|124200.90
H2MT00021|11476.00|-0.0965|5.00|2500.00|280.00|478.17|688.06
H2MO03134|300.00|-0.0975|300.00|300.00|300.00|300.00|0.00
H8TX20077|357350.00|-0.0643|-5000.00|5000.00|1000.00|1418.06|1283.41
S2MN00225|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H0NC07108|44838.00|-0.0934|250.00|10459.00|1500.00|2241.90|2449.04
H2TX34030|2600.00|-0.0973|2600.00|2600.00|2600.00|2600.00|0.00
H2ME02154|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
S0KY00123|19834.00|-0.0957|-1500.00|5011.00|2000.00|1652.83|1710.30
H6OH11103|665.00|-0.0975|665.00|665.00|665.00|665.00|0.00
S4LA00040|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
H2CA23106|1924669.00|0.0818|151.00|270000.00|2000.00|7792.18|22122.40
H2WA05071|50633.00|-0.0928|-700.00|9973.00|1000.00|2411.10|2494.30
H6FL00046|3000.00|-0.0973|-2000.00|5000.00|1000.00|750.00|2680.95
H0FL19080|363697.00|-0.0637|-5000.00|5000.00|1000.00|1554.26|1458.41
H2AR04083|508021.00|-0.0502|-5000.00|7594.00|1000.00|1895.60|1769.09
H2ND00123|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H4TX13014|452599.00|-0.0554|-5000.00|5000.00|1000.00|1423.27|1183.07
H6FL13130|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
H2TX20039|1616.00|-0.0974|0.00|1000.00|4.00|124.31|270.57
S0WA00258|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H2KY04113|22208.00|-0.0955|1000.00|8886.00|2898.00|3701.33|2843.24
H0TX12212|334.00|-0.0975|334.00|334.00|334.00|334.00|0.00
H4TX02108|365724.00|-0.0635|-1500.00|5000.00|1000.00|1243.96|1058.40
H0NM01163|17649.00|-0.0959|-1000.00|14037.00|3819.00|4412.25|5817.63
H2NC08193|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H0CA08069|4403.00|-0.0971|4403.00|4403.00|4403.00|4403.00|0.00
H2NY00010|519287.00|-0.0492|-2500.00|10691.00|1000.00|1653.78|1450.26
S0NH00227|-670.00|-0.0976|-1000.00|196.00|134.00|-223.33|549.77
S6GA00101|45.00|-0.0976|45.00|45.00|45.00|45.00|0.00
H0OK05155|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H4NJ12081|5000.00|-0.0971|1000.00|2000.00|2000.00|1666.67|471.40
H2ND00057|503.00|-0.0975|-1000.00|1503.00|1503.00|251.50|1251.50
H0MO06149|530.00|-0.0975|530.00|530.00|530.00|530.00|0.00
H0FL08208|2927047.00|0.1751|-3000.00|426767.00|1000.00|6791.29|37324.34
H2NY12130|750.00|-0.0975|250.00|500.00|500.00|375.00|125.00
H2NC09134|243026.00|-0.0749|-5000.00|6750.00|1000.00|1676.04|1683.55
H2FL06158|78688.00|-0.0902|2500.00|40722.00|11000.00|13114.67|13687.92
H0CA49055|330534.00|-0.0668|-2500.00|5000.00|1000.00|1495.63|1236.66
S2ME00125|6000.00|-0.0970|1000.00|5000.00|5000.00|3000.00|2000.00
H0NY23107|11900.00|-0.0964|400.00|5000.00|5000.00|2975.00|2062.01
S2TX00353|25362.00|-0.0952|5.00|5000.00|1000.00|1585.12|1835.50
H2PA05058|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
H0OR04081|453766.00|-0.0553|2.00|138480.00|436.00|15125.53|32323.23
H0IL17059|5445650.00|0.4098|-2500.00|500414.00|1000.00|7072.27|32163.59
H0MO01066|561066.00|-0.0453|-5000.00|5000.00|1500.00|1870.22|1587.34
H2TX32067|8642.00|-0.0968|217.00|2600.00|2500.00|1728.40|1039.80
H2LA02099|900.00|-0.0975|900.00|900.00|900.00|900.00|0.00
H8LA04225|318425.00|-0.0679|-4000.00|5000.00|1000.00|1360.79|1134.61
H2TX31044|434106.00|-0.0571|-5000.00|5000.00|1000.00|1418.65|1286.24
H0SC01279|744109.00|-0.0282|-2500.00|5000.00|1000.00|1417.35|1040.41
S2MT00096|1772.00|-0.0974|22.00|1000.00|33.00|196.89|318.72
H2AZ01172|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H6NV01158|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H0MA05066|3500.00|-0.0972|1000.00|2500.00|2500.00|1750.00|750.00
H2AR01055|63629.00|-0.0916|-5000.00|5000.00|1480.00|1988.41|2249.51
H4LA00016|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
S6UT00063|5278620.00|0.3942|-9137.00|95140.00|2000.00|2470.11|4709.23
S2PA00208|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H0VA03108|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H2CA21167|52874.00|-0.0926|304.00|5000.00|1500.00|2298.87|1747.02
H2PA02139|5000.00|-0.0971|1000.00|2000.00|1000.00|1250.00|433.01
H2NY22147|59141.00|-0.0920|0.00|5000.00|1000.00|1598.41|1588.44
H2NJ10139|24500.00|-0.0953|1000.00|5000.00|5000.00|3500.00|1792.84
H6CA07043|491146.00|-0.0518|-5000.00|5000.00|2000.00|2182.87|1979.40
H2IN09142|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
S4MI00355|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
S8DE00079|2095844.00|0.0977|-5000.00|5000.00|1150.00|1849.82|1361.62
H0NY20079|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H4IL15055|4128678.00|0.2871|-2500.00|537539.00|1270.00|16254.64|63751.60
H6TX21012|925097.00|-0.0114|-2500.00|5000.00|1500.00|1850.19|1298.16
P60000452|100.00|-0.0975|100.00|100.00|100.00|100.00|0.00
H2MT01060|460463.00|-0.0547|-5000.00|11966.00|1000.00|1812.85|1743.44
H8CA34068|327313.00|-0.0671|-5000.00|5000.00|1000.00|1429.31|1318.98
H0RI02139|507000.00|-0.0503|-5000.00|5000.00|1000.00|1432.20|1222.53
H2CA11135|1325307.00|0.0259|-2500.00|292713.00|1000.00|4890.43|24188.63
S2NM00070|1585.00|-0.0974|85.00|1500.00|1500.00|792.50|707.50
S4WV00159|16500.00|-0.0960|-1000.00|5000.00|2000.00|2357.14|1976.91
S0UT00066|72715.00|-0.0908|-2500.00|20000.00|1000.00|3161.52|5109.47
H0NJ01066|703931.00|-0.0320|-5000.00|6749.00|1000.00|1828.39|1543.91
H6MI16034|1043470.00|-0.0003|-5000.00|9019.00|1000.00|1605.34|1289.52
S0CO00344|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
H6CA36117|1854.00|-0.0974|300.00|804.00|750.00|618.00|225.94
H0MI01153|3039689.00|0.1856|-5000.00|264526.00|1500.00|9295.69|31358.19
H0IL11052|1149272.00|0.0095|-5000.00|99992.00|1000.00|1818.47|4583.51
H6VA10050|370994.00|-0.0630|-1000.00|5000.00|1000.00|1208.45|885.24
H2MN08103|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H2TX26093|855340.00|-0.0179|-5000.00|5000.00|1000.00|1575.21|1236.07
H6HI02251|71568.00|-0.0909|51.00|5000.00|2500.00|2385.60|1494.98
H0MI06103|38819.00|-0.0939|-1000.00|6101.00|1250.00|2587.93|2328.76
H6WA08068|14564.00|-0.0962|5.00|5000.00|15.00|214.18|742.55
H2TN03151|177161.00|-0.0811|500.00|165060.00|5000.00|35432.20|64846.31
H2NY13088|335389.00|-0.0663|10.00|60000.00|2000.00|3224.89|8133.24
H2FL08055|1088307.00|0.0038|-3000.00|5000.00|1000.00|1577.26|1163.04
S6WY00126|227000.00|-0.0764|-1500.00|5000.00|1500.00|1576.39|1102.73
H4MA05043|21000.00|-0.0956|1000.00|5000.00|1000.00|2100.00|1700.00
H8LA02054|613909.00|-0.0404|-1000.00|5000.00|1000.00|1624.10|1169.56
S0CO00294|3884.00|-0.0972|-1000.00|5000.00|-116.00|776.80|2150.41
H6OH06095|4896887.00|0.3587|-2000.00|1019109.00|269.00|6098.24|58389.59
H0OH16097|6926565.00|0.5478|-5000.00|784144.00|1000.00|5991.84|41747.85
H0FL24049|423214.00|-0.0581|-5000.00|5000.00|1000.00|1444.42|1431.34
H2MI11158|623663.00|-0.0395|8.00|357720.00|2500.00|12228.69|49366.41
H2OK04055|425354.00|-0.0579|-5000.00|5000.00|1000.00|1476.92|1199.45
H2RI01178|765776.00|-0.0262|14.00|267750.00|1135.00|5245.04|22930.20
H8VA02046|391.00|-0.0975|391.00|391.00|391.00|391.00|0.00
H8WI01024|1286196.00|0.0223|-5000.00|6095.00|1500.00|1869.47|1464.69
H2FL07123|5000.00|-0.0971|2500.00|2500.00|2500.00|2500.00|0.00
H2TX03126|1100721.00|0.0050|-5000.00|5000.00|2000.00|2008.61|1461.71
S8MS00055|137760.00|-0.0847|-5000.00|5000.00|1000.00|1219.12|1678.51
H2TX25269|200.00|-0.0975|200.00|200.00|200.00|200.00|0.00
H2PR00065|6000.00|-0.0970|1000.00|2500.00|1500.00|1500.00|612.37
H2RI01160|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H8MA05143|324897.00|-0.0673|-5000.00|5000.00|1000.00|1532.53|1362.78
H2CA04114|4900.00|-0.0971|200.00|1500.00|1000.00|980.00|430.81
H2GA11123|-2500.00|-0.0978|-2500.00|-2500.00|-2500.00|-2500.00|0.00
H2NY25066|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H6CA48039|593035.00|-0.0423|-3000.00|5000.00|1000.00|1573.04|1197.78
H6AZ08038|438624.00|-0.0567|-5000.00|5000.00|1000.00|1523.00|1446.28
H0TX30040|2115.00|-0.0974|525.00|1590.00|1590.00|1057.50|532.50
S6MT00162|14418321.00|1.2457|-59504.00|906592.00|1000.00|7493.93|49474.30
H2CA27107|-2500.00|-0.0978|-2500.00|-2500.00|-2500.00|-2500.00|0.00
H0LA03141|1437256.00|0.0363|-5000.00|164933.00|1000.00|4591.87|15123.23
S4LA00057|359465.00|-0.0641|-2500.00|5000.00|1000.00|1420.81|1154.12
S8NE00117|268250.00|-0.0726|-5000.00|5000.00|1000.00|1259.39|902.48
H8IL04076|5500.00|-0.0970|500.00|1000.00|1000.00|916.67|186.34
H2WA04041|563723.00|-0.0450|-2500.00|5000.00|1000.00|1523.58|1172.87
H2MO08075|600.00|-0.0975|300.00|300.00|300.00|300.00|0.00
H0OR05047|1028.00|-0.0975|19.00|436.00|430.00|257.00|181.39
H2CA05095|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H0NE01104|700.00|-0.0975|700.00|700.00|700.00|700.00|0.00
H0RI01073|1040643.00|-0.0006|-5000.00|247876.00|1000.00|2471.84|12353.98
S2TX00106|448510.00|-0.0558|-5000.00|5000.00|1000.00|1900.47|1523.64
H0NJ07196|1135.00|-0.0974|50.00|1000.00|85.00|378.33|439.82
H0TX12204|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H6MO07128|15965.00|-0.0961|-35.00|5000.00|1000.00|1773.89|1381.67
H0CA08077|5500.00|-0.0970|35.00|2965.00|1000.00|1100.00|999.24
H2MI02132|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H2HI02524|518.00|-0.0975|518.00|518.00|518.00|518.00|0.00
H8MP00041|36150.00|-0.0942|-500.00|5000.00|1000.00|1338.89|1248.28
H2WV01029|-1605.00|-0.0977|-1000.00|395.00|-1000.00|-535.00|657.61
S6GA00119|254855.00|-0.0738|-3795.00|5000.00|1000.00|1431.77|1150.92
H6FL08247|32959.00|-0.0945|4.00|8368.00|1000.00|1647.95|2349.88
H2PA15099|8260.00|-0.0968|-5000.00|5000.00|500.00|1180.00|3203.03
H2VA10133|1482.00|-0.0974|1482.00|1482.00|1482.00|1482.00|0.00
H0MO06172|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H2FL14194|478879.00|-0.0529|1.00|100000.00|1500.00|4200.69|12498.08
H0PA03271|542731.00|-0.0470|-5000.00|5000.00|1000.00|1409.69|1249.98
H0LA04081|1320.00|-0.0974|1320.00|1320.00|1320.00|1320.00|0.00
S8AK00090|533350.00|-0.0479|-5000.00|5000.00|1000.00|1582.64|1387.92
H2FL06141|3138.00|-0.0973|3138.00|3138.00|3138.00|3138.00|0.00
H0NY01137|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
S0NJ00100|250.00|-0.0975|100.00|150.00|150.00|125.00|25.00
H4TX17072|2500.00|-0.0973|500.00|1000.00|1000.00|833.33|235.70
H0SC05031|399940.00|-0.0603|-5000.00|5000.00|1000.00|1454.33|1257.64
H2AZ01305|800.00|-0.0975|800.00|800.00|800.00|800.00|0.00
H2ND00115|420271.00|-0.0584|-3000.00|49950.00|1000.00|2626.69|4905.71
H0TN08287|75903.00|-0.0905|1000.00|58903.00|3000.00|9487.88|18749.68
S2ME00042|11841.00|-0.0965|1841.00|5000.00|2500.00|2960.25|1207.99
S2AZ00190|1264441.00|0.0202|1.00|382425.00|311.00|63222.05|124862.50
H6NJ12136|678019.00|-0.0344|-2500.00|5000.00|1000.00|1653.70|1225.28
H2SC07025|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H2NJ05014|591046.00|-0.0425|-4000.00|5000.00|1000.00|1507.77|1148.82
H8CA37079|170500.00|-0.0817|-5000.00|5000.00|1000.00|1136.67|1142.94
H2MD06195|487341.00|-0.0522|-2500.00|88200.00|1551.00|2663.07|6584.49
H2FL13139|1500.00|-0.0974|0.00|1000.00|500.00|500.00|408.25
H2MN05133|13035.00|-0.0963|250.00|5000.00|1158.00|1629.38|1400.21
H2NV04011|5171989.00|0.3843|-2000.00|463628.00|1000.00|9252.22|46986.18
H2IL01042|414000.00|-0.0590|-2500.00|5000.00|1000.00|1617.19|1232.68
H8OH01068|391.00|-0.0975|391.00|391.00|391.00|391.00|0.00
H2GA02114|4500.00|-0.0971|500.00|2500.00|1000.00|1125.00|819.68
H2MI01118|3000.00|-0.0973|1000.00|2000.00|2000.00|1500.00|500.00
H2NV02395|870195.00|-0.0165|-5000.00|68912.00|1000.00|2037.93|3870.80
H2TX16193|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
H2MS02120|1500.00|-0.0974|500.00|1000.00|1000.00|750.00|250.00
H2TX27133|59671.00|-0.0920|10.00|5000.00|1276.00|2131.11|1814.70
S2PA00216|1218.00|-0.0974|298.00|500.00|420.00|406.00|83.06
H2NY22154|7365.00|-0.0969|2.00|1414.00|481.00|526.07|428.94
H2WI07065|2642584.00|0.1486|-1000.00|660089.00|1000.00|9609.40|50144.53
H2MI14111|3750.00|-0.0972|250.00|1000.00|1000.00|750.00|316.23
H2NV02247|1032886.00|-0.0013|5.00|228948.00|2500.00|8132.96|25594.05
S0OH00133|435946.00|-0.0569|-2500.00|5000.00|1000.00|1375.22|1042.80
H6CO05159|436485.00|-0.0569|-2500.00|5000.00|1000.00|1343.03|1124.44
S8MI00281|4302623.00|0.3033|-5000.00|1000000.00|1000.00|2472.77|24731.41
H0SC01295|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H2MI05127|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H2NY01067|3264306.00|0.2066|-2500.00|305000.00|1000.00|4312.16|20580.29
H0GA09030|503068.00|-0.0507|-5000.00|5000.00|1000.00|1417.09|1173.23
H2CA39136|319082.00|-0.0678|9.00|105000.00|800.00|5597.93|16820.14
S2CA00740|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H2NJ04165|8001.00|-0.0968|252.00|6749.00|1000.00|2667.00|2902.52
H2WA02169|8000.00|-0.0968|1000.00|5000.00|2000.00|2666.67|1699.67
H2MD05155|2734894.00|0.1572|-5000.00|13904.00|2500.00|2300.16|1511.49
H2FL10143|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
S0NC00202|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H6OH13133|5827377.00|0.4454|-2500.00|630124.00|1000.00|7480.59|48368.29
S2NM00088|3930890.00|0.2687|-5000.00|900000.00|26.00|1777.08|24696.85
H0CA06121|1500.00|-0.0974|1500.00|1500.00|1500.00|1500.00|0.00
H4TX09095|167560.00|-0.0819|-5000.00|5000.00|1000.00|1626.80|2118.95
H0CA48024|864468.00|-0.0170|-2000.00|5000.00|1000.00|1662.44|1301.75
H0MA04119|8900.00|-0.0967|1000.00|5000.00|1550.00|2225.00|1614.19
H2TX33107|2600.00|-0.0973|2600.00|2600.00|2600.00|2600.00|0.00
H8NE02139|1415626.00|0.0343|-5000.00|75200.00|1000.00|1655.70|3258.16
H8GA10049|381887.00|-0.0620|-2000.00|5000.00|1000.00|1611.34|1372.17
H0CA51036|10423.00|-0.0966|73.00|5000.00|5000.00|2605.75|2396.25
H8GA09041|7621.00|-0.0968|-1000.00|2000.00|1500.00|1088.71|1066.87
H0OH12120|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
S0NY00188|-2000.00|-0.0977|-2000.00|-2000.00|-2000.00|-2000.00|0.00
H4AZ06045|1591537.00|0.0507|-2500.00|230000.00|1000.00|2893.70|14987.39
S2UT00195|353106.00|-0.0647|49.00|120100.00|9500.00|22069.12|29996.12
H2NJ01104|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H2FL08063|3967095.00|0.2720|-5000.00|1715000.00|1000.00|10357.95|95121.69
H0NY02176|9102.00|-0.0967|102.00|5000.00|3000.00|2275.50|1890.69
H8MS03091|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H2GA10117|3500.00|-0.0972|500.00|2000.00|1000.00|1166.67|623.61
H4NC09106|252379.00|-0.0740|-1000.00|5000.00|1000.00|1225.14|815.85
S2MA00113|300.00|-0.0975|300.00|300.00|300.00|300.00|0.00
H2TX15062|4500.00|-0.0971|2000.00|2500.00|2500.00|2250.00|250.00
H2TN06030|1121160.00|0.0069|-3000.00|5000.00|1000.00|1540.05|1090.19
H6NY19144|-9000.00|-0.0984|-5000.00|-500.00|-1000.00|-1800.00|1630.95
H8CT04057|23405.00|-0.0954|-1000.00|5000.00|1405.00|2340.50|2251.55
H8TX22107|717408.00|-0.0307|-5000.00|5000.00|1000.00|1532.92|1173.33
H6CA02010|328750.00|-0.0669|-5000.00|5000.00|1000.00|1603.66|1350.45
H4CT04098|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H2CA47105|374729.00|-0.0626|-1000.00|85000.00|1000.00|2386.81|6801.36
H0FL20104|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H2MI11141|3100.00|-0.0973|600.00|2500.00|2500.00|1550.00|950.00
H2NC05132|100.00|-0.0975|100.00|100.00|100.00|100.00|0.00
H8WI09050|287734.00|-0.0707|-3000.00|5000.00|1000.00|1251.02|975.24
H2WI01084|169907.00|-0.0817|1.00|5145.00|500.00|1337.85|1748.35
H2CO02148|8092.00|-0.0968|5.00|1500.00|432.00|505.75|486.05
S8NC00239|745872.00|-0.0281|-2500.00|5000.00|1000.00|1399.38|1064.60
H2TX27026|1500.00|-0.0974|-2500.00|2500.00|500.00|166.67|1699.67
H0OH03079|-2500.00|-0.0978|-2500.00|-2500.00|-2500.00|-2500.00|0.00
H0IN08155|-1000.00|-0.0976|-1000.00|-1000.00|-1000.00|-1000.00|0.00
H2CA03108|666.00|-0.0975|222.00|222.00|222.00|222.00|0.00
H2MI14129|14.00|-0.0976|2.00|9.00|3.00|4.67|3.09
H2MD06054|680360.00|-0.0342|-3500.00|67700.00|1000.00|1900.45|4163.18
S2TX00429|100201.00|-0.0882|13.00|15000.00|1500.00|2277.30|3212.05
H0ID01253|350164.00|-0.0649|-2500.00|5000.00|1000.00|1292.12|1239.50
H2TX25251|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
S8NM00184|232260.00|-0.0759|-5000.00|5000.00|1000.00|1528.03|1405.26
H2CA15086|21165.00|-0.0956|-2500.00|5000.00|2500.00|1763.75|1983.21
H6NC08111|2728148.00|0.1566|-3000.00|454000.00|1000.00|4924.45|28390.04
H6IL20092|3640.00|-0.0972|-5000.00|5000.00|1000.00|520.00|3113.95
H2NC03079|5000.00|-0.0971|5000.00|5000.00|5000.00|5000.00|0.00
H2OH08074|2000.00|-0.0974|2000.00|2000.00|2000.00|2000.00|0.00
H0CA10214|2683042.00|0.1524|472.00|470961.00|13175.00|99371.93|150542.40
S6MD00140|205450.00|-0.0784|-5000.00|5000.00|1500.00|1568.32|1447.69
P20003067|2829377.00|0.1660|-500.00|700000.00|5000.00|80839.34|164281.05
H6IA02146|1781809.00|0.0684|-2500.00|106800.00|1000.00|3109.61|11446.13
H2NY25074|969226.00|-0.0073|-5000.00|317702.00|2000.00|7692.27|33021.22
H0PA12132|6985403.00|0.5532|-1168.00|457352.00|217.00|3589.62|26077.24
H0NJ07212|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H2TX07028|2600.00|-0.0973|2600.00|2600.00|2600.00|2600.00|0.00
H0NY04065|2307.00|-0.0973|2307.00|2307.00|2307.00|2307.00|0.00
H2FL19037|5000.00|-0.0971|2500.00|2500.00|2500.00|2500.00|0.00
H2VA01066|25629.00|-0.0952|20.00|5000.00|2000.00|2135.75|1826.32
S0NV00237|39510.00|-0.0939|10.00|5000.00|2000.00|2324.12|1661.40
H2CA23122|524.00|-0.0975|24.00|500.00|500.00|262.00|238.00
H0AL02087|537565.00|-0.0475|-5000.00|9318.00|1000.00|1350.67|1244.77
H2SC05052|-2109.00|-0.0978|-2500.00|391.00|391.00|-1054.50|1445.50
H2PA04184|5400.00|-0.0971|-2500.00|2500.00|1400.00|900.00|1688.19
H2KY04139|31749.00|-0.0946|4.00|5000.00|2000.00|1763.83|1197.45
H2IN08094|1341986.00|0.0275|9.00|750058.00|2000.00|7373.55|55726.49
H2OH09122|500.00|-0.0975|500.00|500.00|500.00|500.00|0.00
H8MA02041|1289642.00|0.0226|-5000.00|5000.00|1000.00|1764.22|1310.15
H2IL13120|3857850.00|0.2619|14.00|373961.00|1500.00|9409.39|38170.32
H2LA05084|487322.00|-0.0522|-2000.00|5000.00|1000.00|1437.53|1089.09
H8IN07184|476538.00|-0.0532|-2500.00|5000.00|1000.00|1369.36|1192.70
P20002424|3331.00|-0.0972|500.00|1071.00|1000.00|832.75|224.03
H8NY21203|545968.00|-0.0467|-2500.00|5000.00|1000.00|1281.62|1068.10
H0CA10123|-5000.00|-0.0980|-2000.00|-1000.00|-2000.00|-1666.67|471.40
H2CA36298|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
H0GA04080|28.00|-0.0976|28.00|28.00|28.00|28.00|0.00
H2NY00036|4223864.00|0.2960|-5000.00|380816.00|1000.00|5770.31|28020.43
H2MI13147|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H8MI01107|750.00|-0.0975|250.00|500.00|500.00|375.00|125.00
H0MI13372|2000.00|-0.0974|1000.00|1000.00|1000.00|1000.00|0.00
H2VA10125|19269.00|-0.0958|-500.00|5000.00|500.00|1133.47|1362.29
H2CA22140|68621.00|-0.0912|1.00|5000.00|1000.00|1854.62|1885.99
H2IN05116|5000.00|-0.0971|1000.00|2000.00|2000.00|1666.67|471.40
H0NY01129|2683722.00|0.1525|-5000.00|482005.00|2000.00|13155.50|47701.87
H2TX35029|9110.00|-0.0967|0.00|2000.00|30.00|479.47|573.97
H2MA04040|25500.00|-0.0952|500.00|5000.00|1500.00|2318.18|1735.63
H2WA04124|15317.00|-0.0961|1000.00|4000.00|3000.00|2552.83|1199.50
